date,item,sales,prev_sales,dayofweek,weekofyear
2018-08-14,item_1,72,81.0,1,33
2018-08-15,item_1,69,72.0,2,33
2018-08-16,item_1,74,69.0,3,33
2018-08-17,item_1,63,74.0,4,33
2018-08-18,item_1,73,63.0,5,33
2018-08-19,item_1,69,73.0,6,33
2018-08-20,item_1,67,69.0,0,34
2018-08-21,item_1,79,67.0,1,34
2018-08-22,item_1,74,79.0,2,34
2018-08-23,item_1,90,74.0,3,34
2018-08-24,item_1,86,90.0,4,34
2018-08-25,item_1,65,86.0,5,34
2018-08-26,item_1,67,65.0,6,34
2018-08-27,item_1,64,67.0,0,35
2018-08-28,item_1,60,64.0,1,35
2018-08-29,item_1,61,60.0,2,35
2018-08-30,item_1,74,61.0,3,35
2018-08-31,item_1,67,74.0,4,35
2018-09-01,item_1,70,67.0,5,35
2018-09-02,item_1,62,70.0,6,35
2018-09-03,item_1,50,62.0,0,36
2018-09-04,item_1,65,50.0,1,36
2018-09-05,item_1,57,65.0,2,36
2018-09-06,item_1,70,57.0,3,36
2018-09-07,item_1,68,70.0,4,36
2018-09-08,item_1,76,68.0,5,36
2018-09-09,item_1,79,76.0,6,36
2018-09-10,item_1,57,79.0,0,37
2018-09-11,item_1,86,57.0,1,37
2018-09-12,item_1,65,86.0,2,37
2018-09-13,item_1,77,65.0,3,37
2018-09-14,item_1,63,77.0,4,37
2018-09-15,item_1,71,63.0,5,37
2018-09-16,item_1,68,71.0,6,37
2018-09-17,item_1,77,68.0,0,38
2018-09-18,item_1,64,77.0,1,38
2018-09-19,item_1,83,64.0,2,38
2018-09-20,item_1,72,83.0,3,38
2018-09-21,item_1,70,72.0,4,38
2018-09-22,item_1,64,70.0,5,38
2018-09-23,item_1,68,64.0,6,38
2018-09-24,item_1,66,68.0,0,39
2018-09-25,item_1,67,66.0,1,39
2018-09-26,item_1,83,67.0,2,39
2018-09-27,item_1,75,83.0,3,39
2018-09-28,item_1,71,75.0,4,39
2018-09-29,item_1,72,71.0,5,39
2018-09-30,item_1,77,72.0,6,39
2018-10-01,item_1,60,77.0,0,40
2018-10-02,item_1,68,60.0,1,40
2018-10-03,item_1,73,68.0,2,40
2018-10-04,item_1,64,73.0,3,40
2018-10-05,item_1,61,64.0,4,40
2018-10-06,item_1,61,61.0,5,40
2018-10-07,item_1,65,61.0,6,40
2018-10-08,item_1,84,65.0,0,41
2018-10-09,item_1,72,84.0,1,41
2018-10-10,item_1,68,72.0,2,41
2018-10-11,item_1,82,68.0,3,41
2018-10-12,item_1,65,82.0,4,41
2018-10-13,item_1,75,65.0,5,41
2018-10-14,item_1,72,75.0,6,41
2018-10-15,item_1,65,72.0,0,42
2018-10-16,item_1,62,65.0,1,42
2018-10-17,item_1,69,62.0,2,42
2018-10-18,item_1,64,69.0,3,42
2018-10-19,item_1,74,64.0,4,42
2018-10-20,item_1,73,74.0,5,42
2018-10-21,item_1,70,73.0,6,42
2018-10-22,item_1,52,70.0,0,43
2018-10-23,item_1,60,52.0,1,43
2018-10-24,item_1,79,60.0,2,43
2018-10-25,item_1,76,79.0,3,43
2018-10-26,item_1,73,76.0,4,43
2018-10-27,item_1,69,73.0,5,43
2018-10-28,item_1,94,69.0,6,43
2018-10-29,item_1,62,94.0,0,44
2018-10-30,item_1,77,62.0,1,44
2018-10-31,item_1,81,77.0,2,44
2018-11-01,item_1,79,81.0,3,44
2018-11-02,item_1,61,79.0,4,44
2018-11-03,item_1,80,61.0,5,44
2018-11-04,item_1,71,80.0,6,44
2018-11-05,item_1,82,71.0,0,45
2018-11-06,item_1,80,82.0,1,45
2018-11-07,item_1,68,80.0,2,45
2018-11-08,item_1,66,68.0,3,45
2018-11-09,item_1,71,66.0,4,45
2018-11-10,item_1,84,71.0,5,45
2018-11-11,item_1,72,84.0,6,45
2018-11-12,item_1,74,72.0,0,46
2018-11-13,item_1,88,74.0,1,46
2018-11-14,item_1,67,88.0,2,46
2018-11-15,item_1,79,67.0,3,46
2018-11-16,item_1,72,79.0,4,46
2018-11-17,item_1,79,72.0,5,46
2018-11-18,item_1,66,79.0,6,46
2018-11-19,item_1,77,66.0,0,47
2018-11-20,item_1,73,77.0,1,47
2018-11-21,item_1,82,73.0,2,47
2018-11-22,item_1,80,82.0,3,47
2018-11-23,item_1,81,80.0,4,47
2018-11-24,item_1,68,81.0,5,47
2018-11-25,item_1,61,68.0,6,47
2018-11-26,item_1,77,61.0,0,48
2018-11-27,item_1,74,77.0,1,48
2018-11-28,item_1,72,74.0,2,48
2018-11-29,item_1,67,72.0,3,48
2018-11-30,item_1,84,67.0,4,48
2018-12-01,item_1,68,84.0,5,48
2018-12-02,item_1,89,68.0,6,48
2018-12-03,item_1,73,89.0,0,49
2018-12-04,item_1,74,73.0,1,49
2018-12-05,item_1,73,74.0,2,49
2018-12-06,item_1,86,73.0,3,49
2018-12-07,item_1,61,86.0,4,49
2018-12-08,item_1,74,61.0,5,49
2018-12-09,item_1,86,74.0,6,49
2018-12-10,item_1,81,86.0,0,50
2018-12-11,item_1,71,81.0,1,50
2018-12-12,item_1,68,71.0,2,50
2018-12-13,item_1,67,68.0,3,50
2018-12-14,item_1,68,67.0,4,50
2018-12-15,item_1,85,68.0,5,50
2018-12-16,item_1,67,85.0,6,50
2018-12-17,item_1,70,67.0,0,51
2018-12-18,item_1,70,70.0,1,51
2018-12-19,item_1,62,70.0,2,51
2018-12-20,item_1,69,62.0,3,51
2018-12-21,item_1,67,69.0,4,51
2018-12-22,item_1,74,67.0,5,51
2018-12-23,item_1,75,74.0,6,51
2018-12-24,item_1,93,75.0,0,52
2018-12-25,item_1,69,93.0,1,52
2018-12-26,item_1,73,69.0,2,52
2018-12-27,item_1,77,73.0,3,52
2018-12-28,item_1,84,77.0,4,52
2018-12-29,item_1,62,84.0,5,52
2018-12-30,item_1,70,62.0,6,52
2018-12-31,item_1,55,70.0,0,1
2019-01-01,item_1,70,55.0,1,1
2019-01-02,item_1,69,70.0,2,1
2019-01-03,item_1,72,69.0,3,1
2019-01-04,item_1,62,72.0,4,1
2019-01-05,item_1,89,62.0,5,1
2019-01-06,item_1,65,89.0,6,1
2019-01-07,item_1,69,65.0,0,2
2019-01-08,item_1,61,69.0,1,2
2019-01-09,item_1,75,61.0,2,2
2019-01-10,item_1,64,75.0,3,2
2019-01-11,item_1,75,64.0,4,2
2019-01-12,item_1,58,75.0,5,2
2019-01-13,item_1,62,58.0,6,2
2019-01-14,item_1,64,62.0,0,3
2019-01-15,item_1,64,64.0,1,3
2019-01-16,item_1,81,64.0,2,3
2019-01-17,item_1,68,81.0,3,3
2019-01-18,item_1,63,68.0,4,3
2019-01-19,item_1,84,63.0,5,3
2019-01-20,item_1,57,84.0,6,3
2019-01-21,item_1,73,57.0,0,4
2019-01-22,item_1,83,73.0,1,4
2019-01-23,item_1,67,83.0,2,4
2019-01-24,item_1,68,67.0,3,4
2019-01-25,item_1,65,68.0,4,4
2019-01-26,item_1,69,65.0,5,4
2019-01-27,item_1,69,69.0,6,4
2019-01-28,item_1,89,69.0,0,5
2019-01-29,item_1,71,89.0,1,5
2019-01-30,item_1,79,71.0,2,5
2019-01-31,item_1,72,79.0,3,5
2019-02-01,item_1,65,72.0,4,5
2019-02-02,item_1,72,65.0,5,5
2019-02-03,item_1,65,72.0,6,5
2019-02-04,item_1,85,65.0,0,6
2019-02-05,item_1,73,85.0,1,6
2019-02-06,item_1,72,73.0,2,6
2019-02-07,item_1,80,72.0,3,6
2019-02-08,item_1,73,80.0,4,6
2019-02-09,item_1,75,73.0,5,6
2019-02-10,item_1,85,75.0,6,6
2019-02-11,item_1,68,85.0,0,7
2019-02-12,item_1,51,68.0,1,7
2019-02-13,item_1,77,51.0,2,7
2019-02-14,item_1,73,77.0,3,7
2019-02-15,item_1,68,73.0,4,7
2019-02-16,item_1,67,68.0,5,7
2019-02-17,item_1,66,67.0,6,7
2019-02-18,item_1,70,66.0,0,8
2019-02-19,item_1,87,70.0,1,8
2019-02-20,item_1,63,87.0,2,8
2019-02-21,item_1,65,63.0,3,8
2019-02-22,item_1,52,65.0,4,8
2019-02-23,item_1,73,52.0,5,8
2019-02-24,item_1,78,73.0,6,8
2019-02-25,item_1,56,78.0,0,9
2019-02-26,item_1,71,56.0,1,9
2019-02-27,item_1,69,71.0,2,9
2019-02-28,item_1,80,69.0,3,9
2019-03-01,item_1,76,80.0,4,9
2019-03-02,item_1,73,76.0,5,9
2019-03-03,item_1,70,73.0,6,9
2019-03-04,item_1,72,70.0,0,10
2019-03-05,item_1,77,72.0,1,10
2019-03-06,item_1,75,77.0,2,10
2019-03-07,item_1,81,75.0,3,10
2019-03-08,item_1,71,81.0,4,10
2019-03-09,item_1,86,71.0,5,10
2019-03-10,item_1,73,86.0,6,10
2019-03-11,item_1,66,73.0,0,11
2019-03-12,item_1,70,66.0,1,11
2019-03-13,item_1,81,70.0,2,11
2019-03-14,item_1,80,81.0,3,11
2019-03-15,item_1,73,80.0,4,11
2019-03-16,item_1,59,73.0,5,11
2019-03-17,item_1,76,59.0,6,11
2019-03-18,item_1,77,76.0,0,12
2019-03-19,item_1,66,77.0,1,12
2019-03-20,item_1,79,66.0,2,12
2019-03-21,item_1,74,79.0,3,12
2019-03-22,item_1,74,74.0,4,12
2019-03-23,item_1,72,74.0,5,12
2019-03-24,item_1,67,72.0,6,12
2019-03-25,item_1,69,67.0,0,13
2019-03-26,item_1,74,69.0,1,13
2019-03-27,item_1,69,74.0,2,13
2019-03-28,item_1,77,69.0,3,13
2019-03-29,item_1,59,77.0,4,13
2019-03-30,item_1,65,59.0,5,13
2019-03-31,item_1,64,65.0,6,13
2019-04-01,item_1,69,64.0,0,14
2019-04-02,item_1,75,69.0,1,14
2019-04-03,item_1,57,75.0,2,14
2019-04-04,item_1,70,57.0,3,14
2019-04-05,item_1,75,70.0,4,14
2019-04-06,item_1,71,75.0,5,14
2019-04-07,item_1,62,71.0,6,14
2019-04-08,item_1,62,62.0,0,15
2019-04-09,item_1,67,62.0,1,15
2019-04-10,item_1,62,67.0,2,15
2019-04-11,item_1,78,62.0,3,15
2019-04-12,item_1,61,78.0,4,15
2019-04-13,item_1,64,61.0,5,15
2019-04-14,item_1,72,64.0,6,15
2019-04-15,item_1,73,72.0,0,16
2019-04-16,item_1,82,73.0,1,16
2019-04-17,item_1,60,82.0,2,16
2019-04-18,item_1,79,60.0,3,16
2019-04-19,item_1,72,79.0,4,16
2019-04-20,item_1,69,72.0,5,16
2019-04-21,item_1,65,69.0,6,16
2019-04-22,item_1,71,65.0,0,17
2019-04-23,item_1,63,71.0,1,17
2019-04-24,item_1,56,63.0,2,17
2019-04-25,item_1,71,56.0,3,17
2019-04-26,item_1,73,71.0,4,17
2019-04-27,item_1,67,73.0,5,17
2019-04-28,item_1,73,67.0,6,17
2019-04-29,item_1,82,73.0,0,18
2019-04-30,item_1,75,82.0,1,18
2019-05-01,item_1,82,75.0,2,18
2019-05-02,item_1,80,82.0,3,18
2019-05-03,item_1,75,80.0,4,18
2019-05-04,item_1,78,75.0,5,18
2019-05-05,item_1,60,78.0,6,18
2019-05-06,item_1,77,60.0,0,19
2019-05-07,item_1,71,77.0,1,19
2019-05-08,item_1,65,71.0,2,19
2019-05-09,item_1,65,65.0,3,19
2019-05-10,item_1,72,65.0,4,19
2019-05-11,item_1,59,72.0,5,19
2019-05-12,item_1,72,59.0,6,19
2019-05-13,item_1,67,72.0,0,20
2019-05-14,item_1,87,67.0,1,20
2019-05-15,item_1,88,87.0,2,20
2019-05-16,item_1,55,88.0,3,20
2019-05-17,item_1,76,55.0,4,20
2019-05-18,item_1,73,76.0,5,20
2019-05-19,item_1,74,73.0,6,20
2019-05-20,item_1,60,74.0,0,21
2019-05-21,item_1,41,60.0,1,21
2019-05-22,item_1,66,41.0,2,21
2019-05-23,item_1,78,66.0,3,21
2019-05-24,item_1,70,78.0,4,21
2019-05-25,item_1,70,70.0,5,21
2019-05-26,item_1,79,70.0,6,21
2019-05-27,item_1,63,79.0,0,22
2019-05-28,item_1,76,63.0,1,22
2019-05-29,item_1,61,76.0,2,22
2019-05-30,item_1,89,61.0,3,22
2019-05-31,item_1,74,89.0,4,22
2019-06-01,item_1,69,74.0,5,22
2019-06-02,item_1,64,69.0,6,22
2019-06-03,item_1,68,64.0,0,23
2019-06-04,item_1,70,68.0,1,23
2019-06-05,item_1,78,70.0,2,23
2019-06-06,item_1,81,78.0,3,23
2019-06-07,item_1,74,81.0,4,23
2019-06-08,item_1,74,74.0,5,23
2019-06-09,item_1,70,74.0,6,23
2019-06-10,item_1,60,70.0,0,24
2019-06-11,item_1,69,60.0,1,24
2019-06-12,item_1,71,69.0,2,24
2019-06-13,item_1,73,71.0,3,24
2019-06-14,item_1,79,73.0,4,24
2019-06-15,item_1,70,79.0,5,24
2019-06-16,item_1,56,70.0,6,24
2019-06-17,item_1,70,56.0,0,25
2019-06-18,item_1,66,70.0,1,25
2019-06-19,item_1,81,66.0,2,25
2019-06-20,item_1,58,81.0,3,25
2019-06-21,item_1,71,58.0,4,25
2019-06-22,item_1,76,71.0,5,25
2019-06-23,item_1,71,76.0,6,25
2019-06-24,item_1,67,71.0,0,26
2019-06-25,item_1,56,67.0,1,26
2019-06-26,item_1,60,56.0,2,26
2019-06-27,item_1,76,60.0,3,26
2019-06-28,item_1,63,76.0,4,26
2019-06-29,item_1,58,63.0,5,26
2019-06-30,item_1,76,58.0,6,26
2019-07-01,item_1,87,76.0,0,27
2019-07-02,item_1,72,87.0,1,27
2019-07-03,item_1,82,72.0,2,27
2019-07-04,item_1,79,82.0,3,27
2019-07-05,item_1,80,79.0,4,27
2019-07-06,item_1,83,80.0,5,27
2019-07-07,item_1,80,83.0,6,27
2019-07-08,item_1,75,80.0,0,28
2019-07-09,item_1,77,75.0,1,28
2019-07-10,item_1,54,77.0,2,28
2019-07-11,item_1,67,54.0,3,28
2019-07-12,item_1,79,67.0,4,28
2019-07-13,item_1,71,79.0,5,28
2019-07-14,item_1,77,71.0,6,28
2019-07-15,item_1,75,77.0,0,29
2019-07-16,item_1,75,75.0,1,29
2019-07-17,item_1,70,75.0,2,29
2019-07-18,item_1,77,70.0,3,29
2019-07-19,item_1,69,77.0,4,29
2019-07-20,item_1,68,69.0,5,29
2019-07-21,item_1,73,68.0,6,29
2019-07-22,item_1,77,73.0,0,30
2019-07-23,item_1,69,77.0,1,30
2019-07-24,item_1,73,69.0,2,30
2019-07-25,item_1,63,73.0,3,30
2019-07-26,item_1,74,63.0,4,30
2019-07-27,item_1,60,74.0,5,30
2019-07-28,item_1,84,60.0,6,30
2019-07-29,item_1,62,84.0,0,31
2019-07-30,item_1,71,62.0,1,31
2019-07-31,item_1,82,71.0,2,31
2019-08-01,item_1,71,82.0,3,31
2019-08-02,item_1,73,71.0,4,31
2019-08-03,item_1,68,73.0,5,31
2019-08-04,item_1,65,68.0,6,31
2019-08-05,item_1,67,65.0,0,32
2019-08-06,item_1,70,67.0,1,32
2019-08-07,item_1,56,70.0,2,32
2019-08-08,item_1,71,56.0,3,32
2019-08-09,item_1,80,71.0,4,32
2019-08-10,item_1,64,80.0,5,32
2019-08-11,item_1,76,64.0,6,32
2019-08-12,item_1,62,76.0,0,33
2019-08-13,item_1,77,62.0,1,33
2019-08-14,item_1,70,77.0,2,33
2019-08-15,item_1,79,70.0,3,33
2019-08-16,item_1,82,79.0,4,33
2019-08-17,item_1,59,82.0,5,33
2019-08-18,item_1,53,59.0,6,33
2019-08-19,item_1,87,53.0,0,34
2019-08-20,item_1,59,87.0,1,34
2019-08-21,item_1,87,59.0,2,34
2019-08-22,item_1,71,87.0,3,34
2019-08-23,item_1,94,71.0,4,34
2019-08-24,item_1,90,94.0,5,34
2019-08-25,item_1,82,90.0,6,34
2019-08-26,item_1,71,82.0,0,35
2019-08-27,item_1,75,71.0,1,35
2019-08-28,item_1,76,75.0,2,35
2019-08-29,item_1,58,76.0,3,35
2019-08-30,item_1,70,58.0,4,35
2019-08-31,item_1,62,70.0,5,35
2019-09-01,item_1,76,62.0,6,35
2019-09-02,item_1,74,76.0,0,36
2019-09-03,item_1,73,74.0,1,36
2019-09-04,item_1,87,73.0,2,36
2019-09-05,item_1,75,87.0,3,36
2019-09-06,item_1,75,75.0,4,36
2019-09-07,item_1,75,75.0,5,36
2019-09-08,item_1,69,75.0,6,36
2019-09-09,item_1,78,69.0,0,37
2019-09-10,item_1,77,78.0,1,37
2019-09-11,item_1,69,77.0,2,37
2019-09-12,item_1,75,69.0,3,37
2019-09-13,item_1,78,75.0,4,37
2019-09-14,item_1,69,78.0,5,37
2019-09-15,item_1,59,69.0,6,37
2019-09-16,item_1,68,59.0,0,38
2019-09-17,item_1,76,68.0,1,38
2019-09-18,item_1,70,76.0,2,38
2019-09-19,item_1,68,70.0,3,38
2019-09-20,item_1,56,68.0,4,38
2019-09-21,item_1,75,56.0,5,38
2019-09-22,item_1,70,75.0,6,38
2019-09-23,item_1,82,70.0,0,39
2019-09-24,item_1,70,82.0,1,39
2019-09-25,item_1,67,70.0,2,39
2019-09-26,item_1,68,67.0,3,39
2019-09-27,item_1,72,68.0,4,39
2019-09-28,item_1,78,72.0,5,39
2019-09-29,item_1,84,78.0,6,39
2019-09-30,item_1,86,84.0,0,40
2019-10-01,item_1,87,86.0,1,40
2019-10-02,item_1,58,87.0,2,40
2019-10-03,item_1,65,58.0,3,40
2019-10-04,item_1,66,65.0,4,40
2019-10-05,item_1,72,66.0,5,40
2019-10-06,item_1,74,72.0,6,40
2019-10-07,item_1,65,74.0,0,41
2019-10-08,item_1,59,65.0,1,41
2019-10-09,item_1,76,59.0,2,41
2019-10-10,item_1,72,76.0,3,41
2019-10-11,item_1,59,72.0,4,41
2019-10-12,item_1,71,59.0,5,41
2019-10-13,item_1,72,71.0,6,41
2019-10-14,item_1,74,72.0,0,42
2019-10-15,item_1,73,74.0,1,42
2019-10-16,item_1,83,73.0,2,42
2019-10-17,item_1,63,83.0,3,42
2019-10-18,item_1,69,63.0,4,42
2019-10-19,item_1,84,69.0,5,42
2019-10-20,item_1,64,84.0,6,42
2019-10-21,item_1,65,64.0,0,43
2019-10-22,item_1,69,65.0,1,43
2019-10-23,item_1,58,69.0,2,43
2019-10-24,item_1,70,58.0,3,43
2019-10-25,item_1,62,70.0,4,43
2019-10-26,item_1,82,62.0,5,43
